Organism	Kingdom	Group	SubGroup	Size(Mb)	GC%	Genes	Proteins
Galdieria sulphuraria	Eukaryota	Other	Other	12.0937	41.3	0	0
Agrilus planipennis	Eukaryota	Animals	Insects	353.563	38.5995	13041	18543
Penicillium italicum	Eukaryota	Fungi	Ascomycetes	30.1644	47.3	9996	9996
Zymoseptoria brevis	Eukaryota	Fungi	Ascomycetes	31.9143	52.6	10566	10566
Gyrodactylus salaris	Eukaryota	Animals	Flatworms	67.3807	33.9	0	0
Pinus lambertiana	Eukaryota	Plants	Land Plants	27602.7	3.1	0	0
Cyberlindnera fabianii	Eukaryota	Fungi	Ascomycetes	12.3038	44.2	0	0
Echinops telfairi	Eukaryota	Animals	Mammals	2947.02	43.6	25811	22926
Diospyros lotus	Eukaryota	Plants	Land Plants	1.10419	39.5	0	0
Metarhizium robertsii	Eukaryota	Fungi	Ascomycetes	40.3173	50.8	12476	12384
Nakazawaea peltata	Eukaryota	Fungi	Ascomycetes	11.6538	40.5	0	0
Cystobasidiopsis lactophilus	Eukaryota	Fungi	Basidiomycetes	22.1806	56.2	0	0
Solanum commersonii	Eukaryota	Plants	Land Plants	729.603	34.7	0	0
Nicotiana benthamiana	Eukaryota	Plants	Land Plants	61.9511	39.6	0	0
Termitomyces sp. J132	Eukaryota	Fungi	Basidiomycetes	67.2968	46.3	11393	11143
Leersia perrieri	Eukaryota	Plants	Land Plants	266.688	42.5997	0	0
Dacryopinax primogenitus	Eukaryota	Fungi	Basidiomycetes	29.5035	52	10301	10240
Ogataea methanolica	Eukaryota	Fungi	Ascomycetes	15.0864	36.2	0	0
Scaptodrosophila lebanonensis	Eukaryota	Animals	Insects	187.417	38.4	0	0
Drosophila arizonae	Eukaryota	Animals	Insects	141.387	40.8	13287	19500
Trichosporon coremiiforme	Eukaryota	Fungi	Basidiomycetes	42.3533	59.6	0	0
Phlebotomus papatasi	Eukaryota	Animals	Insects	363.768	34.3	0	0
Ursus maritimus	Eukaryota	Animals	Mammals	2301.38	41.7	26982	28887
Lottia gigantea	Eukaryota	Animals	Other Animals	359.506	36	23827	23822
Triticum urartu	Eukaryota	Plants	Land Plants	3747.05	46	29190	24169
Uroleptopsis citrina	Eukaryota	Protists	Other Protists	32.3472	0	0	0
Lachancea lanzarotensis	Eukaryota	Fungi	Ascomycetes	11.0921	44.3	5374	5058
Malassezia furfur	Eukaryota	Fungi	Basidiomycetes	7.87764	64.1	0	0
Triticum aestivum	Eukaryota	Plants	Land Plants	0.942499	46.3	0	0
Nothobranchius furzeri	Eukaryota	Animals	Fishes	1242.52	44.8104	25026	36873
Leptosomus discolor	Eukaryota	Animals	Birds	1136.24	41.8	15300	16371
Parasitella parasitica	Eukaryota	Fungi	Other Fungi	44.9106	39.8	13543	13408
Acanthamoeba polyphaga	Eukaryota	Protists	Other Protists	49.3537	58.1	0	0
Fusarium asiaticum	Eukaryota	Fungi	Ascomycetes	36.5267	48.3	0	0
Ceraceosorus bombacis	Eukaryota	Fungi	Basidiomycetes	26.0901	54.9	8023	8022
Prunus persica	Eukaryota	Plants	Land Plants	227.252	37.6	28087	28927
Cylicostephanus goldi	Eukaryota	Animals	Roundworms	173.362	40.7	0	0
Citrus unshiu	Eukaryota	Plants	Land Plants	1.1542	35	0	0
Trichinella murrelli	Eukaryota	Animals	Roundworms	49.0167	33.7	14852	18645
Hanseniaspora osmophila	Eukaryota	Fungi	Ascomycetes	11.4584	36.7	4657	4657
Ensete ventricosum	Eukaryota	Plants	Land Plants	429.48	0	0	0
Cynoglossus semilaevis	Eukaryota	Animals	Fishes	470.199	41.2788	24279	36992
Culex quinquefasciatus	Eukaryota	Animals	Insects	579.042	38.1	22416	18883
Paracoccus marginatus	Eukaryota	Animals	Insects	191.208	36.1	0	0
Umbilicaria muehlenbergii	Eukaryota	Fungi	Ascomycetes	34.8124	47.1	0	0
Chlamydomonas reinhardtii	Eukaryota	Plants	Green Algae	120.405	61.9512	14488	14489
Dictyostelium intermedium	Eukaryota	Protists	Other Protists	30.5295	27.2	0	0
Phaeomoniella chlamydospora	Eukaryota	Fungi	Ascomycetes	27.5134	47	6907	6907
Tilletia horrida	Eukaryota	Fungi	Basidiomycetes	20.1053	55.8	0	0
Colius striatus	Eukaryota	Animals	Birds	1075.93	40.9	15009	15797
Pseudogymnoascus sp. VKM F-4519 (FW-2642)	Eukaryota	Fungi	Ascomycetes	32.5782	50.2	10630	10630
Phodopus sungorus	Eukaryota	Animals	Mammals	2003.23	41.3	0	0
Colletotrichum godetiae	Eukaryota	Fungi	Ascomycetes	35.0343	50.6	0	0
Ictalurus punctatus	Eukaryota	Animals	Fishes	783.275	39.8391	27156	47978
Adineta vaga	Eukaryota	Animals	Other Animals	217.934	31.2	0	0
Lepisosteus oculatus	Eukaryota	Animals	Fishes	945.878	40.4083	21770	41647
Ciona savignyi	Eukaryota	Animals	Other Animals	587.353	37.5	0	0
Rhynchosporium commune	Eukaryota	Fungi	Ascomycetes	55.6391	42.3	12329	12211
fungal sp. No.11243	Eukaryota	Fungi	Other Fungi	21.7198	54	9730	9693
Sinocyclocheilus anshuiensis	Eukaryota	Animals	Fishes	1632.72	38.0001	50985	68474
Dreissena polymorpha	Eukaryota	Animals	Other Animals	0.90568	36	0	0
Drosophila virilis	Eukaryota	Animals	Insects	1.25535	37.3	81	81
Botryosphaeria dothidea	Eukaryota	Fungi	Ascomycetes	47.3893	53.1	0	0
Trichophyton violaceum	Eukaryota	Fungi	Ascomycetes	23.3671	47	7037	7037
Pleurotus eryngii	Eukaryota	Fungi	Basidiomycetes	43.7797	49.3	0	0
Balamuthia mandrillaris	Eukaryota	Protists	Other Protists	44.2709	46.8	0	0
Amphilophus citrinellus	Eukaryota	Animals	Fishes	844.903	41.4	0	0
Apis cerana	Eukaryota	Animals	Insects	228.332	34.8987	12052	19255
Sphaeroforma sirkka	Eukaryota	Protists	Other Protists	85.4945	41.4	0	0
Moniliophthora roreri	Eukaryota	Fungi	Basidiomycetes	57.3844	46.5	20131	20131
Polyporus brumalis	Eukaryota	Fungi	Basidiomycetes	53.4346	57	0	0
Tilletia caries	Eukaryota	Fungi	Basidiomycetes	29.5409	56.1	10204	10204
Eucidaris tribuloides	Eukaryota	Animals	Other Animals	2187.26	37.2	0	0
Fusarium sp. NRRL 31653	Eukaryota	Fungi	Ascomycetes	41.3087	48.5	0	0
Phyllosticta citricarpa	Eukaryota	Fungi	Ascomycetes	31.1272	53.1	0	0
Macaca fascicularis	Eukaryota	Animals	Mammals	3126.56	42.0609	21132	17456
Rhagoletis zephyria	Eukaryota	Animals	Insects	1113.96	37.3	28028	34587
Millerozyma acaciae	Eukaryota	Fungi	Ascomycetes	11.0659	41.4	0	0
Aplysia californica	Eukaryota	Animals	Other Animals	927.31	41.9999	21325	27608
Manis javanica	Eukaryota	Animals	Mammals	2547.4	41.5	25268	41843
Ceratocystis adiposa	Eukaryota	Fungi	Ascomycetes	28.3392	47	0	0
Cercocebus atys	Eukaryota	Animals	Mammals	2848.25	41.1	30650	65920
Linum usitatissimum	Eukaryota	Plants	Land Plants	282.202	39.5	0	0
Fraxinus excelsior	Eukaryota	Plants	Land Plants	875.244	37.2	0	0
Leishmania donovani	Eukaryota	Protists	Kinetoplasts	32.445	59.0623	8195	8032
Diplodia scrobiculata	Eukaryota	Fungi	Ascomycetes	34.9311	57	0	0
Miniopterus natalensis	Eukaryota	Animals	Mammals	1803.1	42.4	22891	29787
Tetraodon nigroviridis	Eukaryota	Animals	Fishes	342.403	46.6	27918	27918
Apiotrichum montevideense	Eukaryota	Fungi	Basidiomycetes	24.8722	58.2	0	0
Lasius niger	Eukaryota	Animals	Insects	236.236	37.1	18247	18247
Nematocida sp. JUm2807	Eukaryota	Fungi	Other Fungi	3.0664	49.1	2278	2278
Phialophora attae	Eukaryota	Fungi	Ascomycetes	30.3636	53.6	11848	11848
Knoxdaviesia proteae	Eukaryota	Fungi	Ascomycetes	35.4891	52.7	0	0
Amaranthus tuberculatus	Eukaryota	Plants	Land Plants	4.34798	35	0	0
Apiotrichum domesticum	Eukaryota	Fungi	Basidiomycetes	24.5109	58.5	0	0
Eurypyga helias	Eukaryota	Animals	Birds	1088.02	42.3	14812	15656
Verticillium longisporum	Eukaryota	Fungi	Ascomycetes	99.1892	53.9	20793	20793
Phanerochaete chrysosporium	Eukaryota	Fungi	Basidiomycetes	39.2051	56.5	0	0
Cirrula hians	Eukaryota	Animals	Insects	399.686	34.4	0	0
Leptoxyphium fumago	Eukaryota	Fungi	Ascomycetes	25.0229	51.4	0	0
Aspergillus parasiticus	Eukaryota	Fungi	Ascomycetes	30.1364	48.2	0	0
Serinus canaria	Eukaryota	Animals	Birds	1152.1	42.6	17797	29964
Dorcoceras hygrometricum	Eukaryota	Plants	Land Plants	1521.36	43.1	47778	47778
Gregarina niphandrodes	Eukaryota	Protists	Apicomplexans	14.0091	53.5	6491	6375
Odocoileus virginianus	Eukaryota	Animals	Mammals	37.6562	45.2	0	0
Rotylenchulus reniformis	Eukaryota	Animals	Roundworms	313.576	17.4	0	0
Catajapyx aquilonaris	Eukaryota	Animals	Insects	302.134	42.9	0	0
Rhizoctonia solani AG-1 IA	Eukaryota	Fungi	Basidiomycetes	29.7303	0	0	0
Actinidia chinensis	Eukaryota	Plants	Land Plants	604.217	35.2	0	0
Naegleria fowleri	Eukaryota	Protists	Other Protists	27.7913	37	0	0
Candida infanticola	Eukaryota	Fungi	Ascomycetes	8.15274	48.3	0	0
Strigomonas oncopelti	Eukaryota	Protists	Kinetoplasts	24.9629	55	0	0
Phytophthora taxon totara	Eukaryota	Protists	Other Protists	55.5809	51.6	0	0
Talaromyces verruculosus	Eukaryota	Fungi	Ascomycetes	37.6292	46.2	11326	11326
Nosema ceranae	Eukaryota	Fungi	Other Fungi	5.69075	25.4	3264	3209
Fonsecaea monophora	Eukaryota	Fungi	Ascomycetes	35.2298	52.2	11999	11984
Plasmodium malariae	Eukaryota	Protists	Apicomplexans	31.9252	24.7	6410	6343
Poecilia reticulata	Eukaryota	Animals	Fishes	731.622	40.2816	26373	43715
Soboliphyme baturini	Eukaryota	Animals	Roundworms	218.333	41.7	0	0
Penicillium verrucosum	Eukaryota	Fungi	Ascomycetes	31.1507	48.1	0	0
Eutrema salsugineum	Eukaryota	Plants	Land Plants	231.893	38.4769	0	0
Procavia capensis	Eukaryota	Animals	Mammals	3602.18	41.8	0	0
Dipodomys ordii	Eukaryota	Animals	Mammals	2236.37	42.6	23266	29351
Dictyostelium fasciculatum	Eukaryota	Protists	Other Protists	31.0192	33.8	12363	12165
Erysiphe pisi	Eukaryota	Fungi	Ascomycetes	69.261	39.2	0	0
Penicillium griseofulvum	Eukaryota	Fungi	Ascomycetes	28.0728	48	0	0
Fusarium pseudograminearum	Eukaryota	Fungi	Ascomycetes	36.1785	48.3814	0	0
Tupaia chinensis	Eukaryota	Animals	Mammals	2846.58	42	35882	36148
Valsa mali	Eukaryota	Fungi	Ascomycetes	44.726	49.3495	11284	11284
Amphimedon queenslandica	Eukaryota	Animals	Other Animals	166.7	37.5008	14011	13713
Odobenus rosmarus divergens	Eukaryota	Animals	Mammals	2400.15	41.7	25186	31370
Huntiella savannae	Eukaryota	Fungi	Ascomycetes	28.5424	48.3	0	0
Talaromyces amestolkiae	Eukaryota	Fungi	Ascomycetes	33.7219	46.5	0	0
Penicillium capsulatum	Eukaryota	Fungi	Ascomycetes	34.3741	49.1	0	0
Onchocerca ochengi	Eukaryota	Animals	Roundworms	95.361	29.4	0	0
Tetranychus urticae	Eukaryota	Animals	Other Animals	90.8286	32.4976	13395	15054
Pelecanus crispus	Eukaryota	Animals	Birds	1160.92	41.4	15382	16298
Tursiops truncatus	Eukaryota	Animals	Mammals	2551.42	42.1	23709	22507
Priapulus caudatus	Eukaryota	Animals	Other Animals	511.738	45.6996	17109	20692
Strongyloides venezuelensis	Eukaryota	Animals	Roundworms	52.179	25.1	0	0
Ptychodera flava	Eukaryota	Animals	Other Animals	1228.69	38.4	0	0
Aptenodytes forsteri	Eukaryota	Animals	Birds	1254.35	42	15366	19104
Gavia stellata	Eukaryota	Animals	Birds	1129.69	41.1001	14770	15697
Phaeotremella fagi	Eukaryota	Fungi	Basidiomycetes	22.6499	42.4	0	0
Toxoplasma gondii	Eukaryota	Protists	Apicomplexans	63.0469	52.4	0	0
Anncaliia algerae	Eukaryota	Fungi	Other Fungi	13.8234	25.5	0	0
Schistosoma japonicum	Eukaryota	Animals	Flatworms	402.743	35.2	0	0
Ascogregarina taiwanensis	Eukaryota	Protists	Apicomplexans	6.14941	49.7	0	0
Haemoproteus tartakovskyi	Eukaryota	Protists	Apicomplexans	23.209	0.00820999	0	0
Mrakia frigida	Eukaryota	Fungi	Basidiomycetes	28.6163	54	0	0
Leishmania turanica	Eukaryota	Protists	Kinetoplasts	32.32	59.5	0	0
Xanthophyllomyces dendrorhous	Eukaryota	Fungi	Basidiomycetes	19.1085	47	0	0
Nematocida sp. ERTm5	Eukaryota	Fungi	Other Fungi	4.39761	33.5	2709	2709
Manihot esculenta	Eukaryota	Plants	Land Plants	582.118	37.8526	33044	41393
Diaporthe longicolla	Eukaryota	Fungi	Ascomycetes	64.7146	48.3	0	0
Conyza canadensis	Eukaryota	Plants	Land Plants	326.165	33.5	0	0
Danaus plexippus	Eukaryota	Animals	Insects	272.853	31.7	16258	16254
Lentinus polychrous	Eukaryota	Fungi	Basidiomycetes	38.0545	51	0	0
Strongyloides stercoralis	Eukaryota	Animals	Roundworms	42.6746	22.1	0	0
Ferrisia virgata	Eukaryota	Animals	Insects	304.571	34.2	0	0
Ailuropoda melanoleuca	Eukaryota	Animals	Mammals	2299.51	41.7	27613	32507
Venturia inaequalis	Eukaryota	Fungi	Ascomycetes	55.1254	38.1	0	0
Phytophthora ramorum	Eukaryota	Protists	Other Protists	41.9729	53.9	0	0
Ustilaginoidea virens	Eukaryota	Fungi	Ascomycetes	33.5676	51.3	6451	6451
Wasmannia auropunctata	Eukaryota	Animals	Insects	324.12	39.9	15103	24085
Trichoderma asperellum	Eukaryota	Fungi	Ascomycetes	37.6867	46.9847	43	17
Sphyracephala brevicornis	Eukaryota	Animals	Insects	315.521	33.1	0	0
Trichoderma gamsii	Eukaryota	Fungi	Ascomycetes	37.9704	49	10943	10943
Rosellinia necatrix	Eukaryota	Fungi	Ascomycetes	45.0284	49.8	11268	11171
Phytophthora rubi	Eukaryota	Protists	Other Protists	47.6718	53.9	0	0
Candida dubliniensis	Eukaryota	Fungi	Ascomycetes	14.0449	33.1	0	0
Jaculus jaculus	Eukaryota	Animals	Mammals	2835.25	42.7	25275	25473
Crithidia fasciculata	Eukaryota	Protists	Kinetoplasts	41.2974	57.0071	0	0
Anopheles gambiae	Eukaryota	Animals	Insects	293.748	22.4	0	0
Beauveria bassiana	Eukaryota	Fungi	Ascomycetes	36.9717	49.6	0	0
Prorocentrum minimum	Eukaryota	Protists	Other Protists	29.349	0	0	0
Canis lupus familiaris	Eukaryota	Animals	Mammals	1517.48	41.1	0	0
Basipetospora chlamydospora	Eukaryota	Fungi	Ascomycetes	33.4899	55.7	0	0
Armadillidium vulgare	Eukaryota	Animals	Other Animals	15.7033	30.3	3241	3094
Clunio marinus	Eukaryota	Animals	Insects	85.4914	31.4	21712	22620
Mrakia blollopis	Eukaryota	Fungi	Basidiomycetes	30.4798	53.7	0	0
Heterobasidion irregulare	Eukaryota	Fungi	Basidiomycetes	26.3743	52.4	0	0
Strigomonas culicis	Eukaryota	Protists	Kinetoplasts	23.5872	56.7	0	0
Caenorhabditis brenneri	Eukaryota	Animals	Roundworms	190.37	39.7	32215	30670
Intoshia linei	Eukaryota	Animals	Other Animals	41.6031	25.9	8724	8724
Chenopodium suecicum	Eukaryota	Plants	Land Plants	536.949	33.3	0	0
Diuraphis noxia	Eukaryota	Animals	Insects	399.655	29.4	0	0
Gongylonema pulchrum	Eukaryota	Animals	Roundworms	322.334	42	0	0
Malassezia japonica	Eukaryota	Fungi	Basidiomycetes	8.36463	62.3	0	0
Diaphorina citri	Eukaryota	Animals	Insects	485.705	38.5	19661	20622
Phytophthora pisi	Eukaryota	Protists	Other Protists	58.8151	54.6	0	0
Graphilbum fragrans	Eukaryota	Fungi	Ascomycetes	34.2709	55.7	0	0
Zoysia matrella	Eukaryota	Plants	Land Plants	563.439	43.3	0	0
Aethionema arabicum	Eukaryota	Plants	Land Plants	192.488	36.2	0	0
Limnephilus lunatus	Eukaryota	Animals	Insects	1345.86	40.2	0	0
Eimeria nieschulzi	Eukaryota	Protists	Apicomplexans	62.8325	50	0	0
Colletotrichum falcatum	Eukaryota	Fungi	Ascomycetes	48.1864	51.6	0	0
Eimeria maxima	Eukaryota	Protists	Apicomplexans	45.9751	46.6	6057	6057
Emmonsia sp. CAC-2015a	Eukaryota	Fungi	Ascomycetes	29.7089	43.4	8857	8769
Trichophyton rubrum	Eukaryota	Fungi	Ascomycetes	22.302	48.3	7051	7051
Nematostella vectensis	Eukaryota	Animals	Other Animals	356.614	41.9	26782	24780
Cottus rhenanus	Eukaryota	Animals	Fishes	563.609	36.8	0	0
Silybum marianum	Eukaryota	Plants	Land Plants	1477.57	37.2	0	0
Homalodisca vitripennis	Eukaryota	Animals	Insects	2246.37	39.4	0	0
Kudoa iwatai	Eukaryota	Animals	Other Animals	31.1772	23.6	0	0
Mnemiopsis leidyi	Eukaryota	Animals	Other Animals	155.866	39.1	0	0
Fulmarus glacialis	Eukaryota	Animals	Birds	1141.4	41.2	15228	16240
Cricetulus griseus	Eukaryota	Animals	Mammals	2399.79	41.6	27752	34935
Pseudogymnoascus sp. 05NY08	Eukaryota	Fungi	Ascomycetes	32.2063	49.8	10662	10514
Phlebopus portentosus	Eukaryota	Fungi	Basidiomycetes	30.3522	49	0	0
Zoysia japonica	Eukaryota	Plants	Land Plants	334.384	42.6	0	0
Eimeria mitis	Eukaryota	Protists	Apicomplexans	60.4151	46.5	8748	8748
Pseudocercospora musae	Eukaryota	Fungi	Ascomycetes	60.4392	44	10402	13129
Okapia johnstoni	Eukaryota	Animals	Mammals	2878.13	41.5	0	0
Phaseolus vulgaris	Eukaryota	Plants	Land Plants	549.748	37.5322	0	0
Drosophila elegans	Eukaryota	Animals	Insects	171.268	40.3	16164	24259
Nicotiana otophora	Eukaryota	Plants	Land Plants	2689.35	39.1	0	0
Anguilla rostrata	Eukaryota	Animals	Fishes	1413.03	41	0	0
Exaiptasia pallida	Eukaryota	Animals	Other Animals	256.132	38.5	26769	26042
Ixodes ricinus	Eukaryota	Animals	Other Animals	514.507	45	0	0
Oikopleura dioica	Eukaryota	Animals	Other Animals	70.4715	40.2	17211	17152
Larimichthys crocea	Eukaryota	Animals	Fishes	678.938	41.4001	27103	41060
Albugo candida	Eukaryota	Protists	Other Protists	32.9217	43.2	0	0
Spironucleus salmonicida	Eukaryota	Protists	Other Protists	12.9546	33.6	8504	8333
Nippostrongylus brasiliensis	Eukaryota	Animals	Roundworms	294.4	43	0	0
Mola mola	Eukaryota	Animals	Fishes	639.452	41.2	0	0
Flammulina velutipes	Eukaryota	Fungi	Basidiomycetes	34.793	49.4	0	0
Drosophila takahashii	Eukaryota	Animals	Insects	182.107	40	16175	23999
Isaria farinosa	Eukaryota	Fungi	Ascomycetes	34.1575	53.2	0	0
Arabis alpina	Eukaryota	Plants	Land Plants	171.788	36.3	0	0
Protopolystoma xenopodis	Eukaryota	Animals	Flatworms	617.345	38.2	0	0
Aspergillus sp. FRR 3425	Eukaryota	Fungi	Ascomycetes	39.9038	47.7	0	0
Capra hircus	Eukaryota	Animals	Mammals	2922.81	43.1505	28404	42687
Daphnia magna	Eukaryota	Animals	Other Animals	129.543	33.3	26646	26646
Cryptococcus sp. 05/00	Eukaryota	Fungi	Basidiomycetes	23.8012	53.1	0	0
Microplitis demolitor	Eukaryota	Animals	Insects	241.19	33.1	12871	18586
Trichosporon ovoides	Eukaryota	Fungi	Basidiomycetes	40.3229	60.2	0	0
Hymenolepis diminuta	Eukaryota	Animals	Flatworms	165.879	35.3	0	0
Cladophialophora immunda	Eukaryota	Fungi	Ascomycetes	43.0292	52.8	12879	14033
Crassostrea gigas	Eukaryota	Animals	Other Animals	557.736	35.3	32273	45406
Strongyloides papillosus	Eukaryota	Animals	Roundworms	60.448	25.6	0	0
Priacma serrata	Eukaryota	Animals	Insects	12.0783	35.9	0	0
Beverwykella pulmonaria	Eukaryota	Fungi	Ascomycetes	45.9662	48.2	0	0
Vitis vinifera	Eukaryota	Plants	Land Plants	486.197	35.0336	29863	41208
Spraguea lophii	Eukaryota	Fungi	Other Fungi	5.76477	23.2	0	0
Lotus japonicus	Eukaryota	Plants	Land Plants	394.455	36.6	0	0
Schistosoma haematobium	Eukaryota	Animals	Flatworms	375.894	35.1	10837	11140
Tuber melanosporum	Eukaryota	Fungi	Ascomycetes	124.946	44.9	7496	7496
Dirofilaria immitis	Eukaryota	Animals	Roundworms	84.8881	28	0	0
Chlamydomonas asymmetrica	Eukaryota	Plants	Green Algae	141.916	55.1	0	0
Clavaria fumosa	Eukaryota	Fungi	Basidiomycetes	70.4695	55.7	0	0
Leptinotarsa decemlineata	Eukaryota	Animals	Insects	1170.24	41.1	0	0
Ophiocordyceps sinensis	Eukaryota	Fungi	Ascomycetes	101.069	43.1	0	0
Malassezia equina	Eukaryota	Fungi	Basidiomycetes	7.65888	58	0	0
Acanthamoeba castellanii	Eukaryota	Protists	Other Protists	115.05	58.9	0	0
Mentha longifolia	Eukaryota	Plants	Land Plants	353.287	36.7	0	0
Pseudogymnoascus sp. BL308	Eukaryota	Fungi	Ascomycetes	31.419	0.0292635	0	0
Trichoderma virens	Eukaryota	Fungi	Ascomycetes	45.8201	49.1	0	0
Talaromyces pinophilus	Eukaryota	Fungi	Ascomycetes	36.4115	46.9	0	0
Lolium perenne	Eukaryota	Plants	Land Plants	481.479	46.3	0	0
Eremothecium sinecaudum	Eukaryota	Fungi	Ascomycetes	8.92252	40.1301	5002	4536
Trichuris muris	Eukaryota	Animals	Roundworms	84.4053	44.8	0	0
Fragaria x ananassa	Eukaryota	Plants	Land Plants	697.762	39.2	0	0
Amauroascus niger	Eukaryota	Fungi	Ascomycetes	36.7183	49.7	0	0
Pseudogymnoascus sp. 23342-1-I1	Eukaryota	Fungi	Ascomycetes	32.9003	50	10914	10762
Periophthalmus magnuspinnatus	Eukaryota	Animals	Fishes	701.697	40	0	0
Auxenochlorella protothecoides	Eukaryota	Plants	Green Algae	22.9246	62.8	7016	7014
Schizosaccharomyces pombe	Eukaryota	Fungi	Ascomycetes	12.5913	36.0381	6991	5133
Penicillium digitatum PDC 102	Eukaryota	Fungi	Ascomycetes	25.2044	48.9	0	0
Aspergillus sp. Z5	Eukaryota	Fungi	Ascomycetes	33.8104	50.5	0	0
Eichhornia paniculata	Eukaryota	Plants	Land Plants	571.388	33.2	0	0
Loxodonta africana	Eukaryota	Animals	Mammals	3196.74	40.9	25649	29784
Romanomermis culicivorax	Eukaryota	Animals	Roundworms	322.766	37.8	0	0
Cucumis melo	Eukaryota	Plants	Land Plants	374.928	34.9008	22519	29798
Nicrophorus vespilloides	Eukaryota	Animals	Insects	195.273	32.2	13581	19577
Mesitornis unicolor	Eukaryota	Animals	Birds	1087.29	41.3	15719	16646
Chelonia mydas	Eukaryota	Animals	Reptiles	2208.41	43.7	19323	20261
Chaetura pelagica	Eukaryota	Animals	Birds	1119.19	41.6	14343	15942
Papilio glaucus	Eukaryota	Animals	Insects	374.816	35.8	0	0
Malassezia caprae	Eukaryota	Fungi	Basidiomycetes	7.58082	59.8	0	0
Fopius arisanus	Eukaryota	Animals	Insects	153.632	39.4	11779	18906
Sturnus vulgaris	Eukaryota	Animals	Birds	1036.76	41.7	16813	26611
Phytophthora cinnamomi	Eukaryota	Protists	Other Protists	53.6914	54	0	0
Pterocles gutturalis	Eukaryota	Animals	Birds	1069.32	41.4	14969	15872
Castanea mollissima	Eukaryota	Plants	Land Plants	833.241	36.1	0	0
Mengenilla moldrzyki	Eukaryota	Animals	Insects	155.727	28.7	0	0
Myzus persicae	Eukaryota	Animals	Insects	347.296	29.9	0	0
Papilio machaon	Eukaryota	Animals	Insects	278.436	34.3992	14863	17758
Heliconius timareta	Eukaryota	Animals	Insects	7.57763	33.8	0	0
Aedes aegypti	Eukaryota	Animals	Insects	744.596	28	0	0
Aureobasidium pullulans	Eukaryota	Fungi	Ascomycetes	17.5987	50.4	6411	6411
Knoxdaviesia capensis	Eukaryota	Fungi	Ascomycetes	35.5378	52.8	0	0
Ceratocystiopsis minuta	Eukaryota	Fungi	Ascomycetes	21.2993	61.7	0	0
Gekko japonicus	Eukaryota	Animals	Reptiles	2490.27	45.5	21426	24464
Latimeria chalumnae	Eukaryota	Animals	Fishes	2736.33	42.1	0	0
Passer domesticus	Eukaryota	Animals	Birds	1042.72	41.1833	0	0
Metarhizium anisopliae	Eukaryota	Fungi	Ascomycetes	38.4771	50.5	10958	10795
Chlorella pyrenoidosa	Eukaryota	Plants	Green Algae	56.993	64	0	0
Zonotrichia albicollis	Eukaryota	Animals	Birds	1052.6	41.8	15943	23892
Thielaviopsis punctulata	Eukaryota	Fungi	Ascomycetes	28.1177	48.3	5296	5296
Trichosporon faecale	Eukaryota	Fungi	Basidiomycetes	24.6539	60.2	0	0
Pseudoloma neurophilia	Eukaryota	Fungi	Other Fungi	5.24841	29.6	3645	3644
Nannochloropsis gaditana	Eukaryota	Protists	Other Protists	25.619	54.4	0	0
Pseudogymnoascus sp. VKM F-4520 (FW-2644)	Eukaryota	Fungi	Ascomycetes	34.0964	50.4	11551	11551
Parachlorella kessleri	Eukaryota	Plants	Green Algae	59.1878	58.3	0	0
Phialocephala subalpina	Eukaryota	Fungi	Ascomycetes	69.693	44	20284	20173
Ophiognomonia clavigignenti-juglandacearum	Eukaryota	Fungi	Ascomycetes	15.9064	48.8	0	0
Rattus norvegicus	Eukaryota	Animals	Mammals	2931.64	42.1521	35555	28314
Brugia pahangi	Eukaryota	Animals	Roundworms	90.5451	28.3	0	0
Fagopyrum esculentum	Eukaryota	Plants	Land Plants	1177.69	28.8	0	0
Globodera ellingtonae	Eukaryota	Animals	Roundworms	105.965	36.4	0	0
Bombus terrestris	Eukaryota	Animals	Insects	248.654	38.0986	11188	20321
Morus notabilis	Eukaryota	Plants	Land Plants	320.379	35.5	29151	26965
Ambrosiozyma monospora	Eukaryota	Fungi	Ascomycetes	24.9784	37.2	0	0
Echinococcus multilocularis	Eukaryota	Animals	Flatworms	114.963	42.5	9192	10656
Chenopodium pallidicaule	Eukaryota	Plants	Land Plants	337.011	35.7	0	0
Ruellia speciosa	Eukaryota	Plants	Land Plants	740.036	39.1	0	0
Pseudogymnoascus sp. 24MN13	Eukaryota	Fungi	Ascomycetes	30.1795	50.3	10363	10269
Ustilago maydis	Eukaryota	Fungi	Basidiomycetes	20.0634	53.9	0	0
Cephus cinctus	Eukaryota	Animals	Insects	162.246	40.3973	12729	25950
Camelus dromedarius	Eukaryota	Animals	Mammals	2084.54	41.5	0	0
Grifola frondosa	Eukaryota	Fungi	Basidiomycetes	39.2893	50	15039	15039
Papilio xuthus	Eukaryota	Animals	Insects	243.232	34.9	15322	15322
Vitis cinerea x Vitis riparia	Eukaryota	Plants	Land Plants	539.624	34.2	0	0
Acanthamoeba royreba	Eukaryota	Protists	Other Protists	79.5441	51.3	0	0
Bombus impatiens	Eukaryota	Animals	Insects	249.185	37.9	11740	20895
Sporopachydermia quercuum	Eukaryota	Fungi	Ascomycetes	16.4115	36.2	0	0
Opisthocomus hoazin	Eukaryota	Animals	Birds	1203.71	42.7	13615	14878
Exophiala mesophila	Eukaryota	Fungi	Ascomycetes	29.2737	50.4	9237	10347
