Organism	Kingdom	Group	SubGroup	Size(Mb)	GC%	Genes	Proteins
Trebouxia gelatinosa	Eukaryota	Plants	Green Algae	61.7262	50.4	0	0
Cryptosporidium hominis	Eukaryota	Protists	Apicomplexans	9.15609	30.1	0	0
Papio anubis	Eukaryota	Animals	Mammals	2948.4	41.1229	38913	60772
Reticulomyxa filosa	Eukaryota	Protists	Other Protists	101.867	35	39965	39963
Phytophthora fragariae	Eukaryota	Protists	Other Protists	73.6803	52.7	0	0
Peniophora sp. CONT	Eukaryota	Fungi	Basidiomycetes	46.0308	54.2	19182	18945
Sporisorium iseilematis-ciliati	Eukaryota	Fungi	Basidiomycetes	23.2071	0	0	0
Chlamydomonas debaryana	Eukaryota	Plants	Green Algae	120.364	62.3	0	0
Nilaparvata lugens	Eukaryota	Animals	Insects	1140.79	36.1	0	0
Exophiala calicioides	Eukaryota	Fungi	Ascomycetes	36.3667	52.8	0	0
Falciphora oryzae	Eukaryota	Fungi	Ascomycetes	50.7794	56.5	0	0
Lotmaria passim	Eukaryota	Protists	Kinetoplasts	32.813	53.5	0	0
Leptographium lundbergii	Eukaryota	Fungi	Ascomycetes	26.5373	56.9	0	0
Penicillium subrubescens	Eukaryota	Fungi	Ascomycetes	39.8032	49.2	14337	14177
Leptographium procerum	Eukaryota	Fungi	Ascomycetes	28.5565	54.8	0	0
Ascoidea asiatica	Eukaryota	Fungi	Ascomycetes	20.3137	24.8	0	0
Neurospora crassa	Eukaryota	Fungi	Ascomycetes	40.4162	48.9	12368	11968
Pan paniscus	Eukaryota	Animals	Mammals	3286.64	42.3185	29962	47451
Clavispora lusitaniae	Eukaryota	Fungi	Ascomycetes	11.8792	44.5	0	0
Picoides pubescens	Eukaryota	Animals	Birds	1167.32	44.6	14443	15826
Candida versatilis	Eukaryota	Fungi	Ascomycetes	10.0819	40.1	0	0
Verruconis gallopava	Eukaryota	Fungi	Ascomycetes	31.7805	49.1	9870	11357
Glycine max	Eukaryota	Plants	Land Plants	978.972	35.1208	58843	71525
Atkinsonella texensis	Eukaryota	Fungi	Ascomycetes	29.3746	49.7	0	0
Onchocerca volvulus	Eukaryota	Animals	Roundworms	96.3406	29.8	0	0
Gossypium barbadense	Eukaryota	Plants	Land Plants	2566.74	35.8	0	0
Stegastes partitus	Eukaryota	Animals	Fishes	800.492	42.1	24580	31597
Penstemon dissectus	Eukaryota	Plants	Land Plants	2.62809	34.6	0	0
Trichinella nativa	Eukaryota	Animals	Roundworms	47.9332	33.6	13545	17293
Babesia bigemina	Eukaryota	Protists	Apicomplexans	13.8409	50.6137	5075	5079
Saccharomyces pastorianus	Eukaryota	Fungi	Ascomycetes	22.3394	39.1	0	0
Lentinula edodes	Eukaryota	Fungi	Basidiomycetes	41.8187	46.1	0	0
Orpinomyces sp. C1A	Eukaryota	Fungi	Other Fungi	100.954	17	0	0
Glossina brevipalpis	Eukaryota	Animals	Insects	315.36	32.4	0	0
Crocodylus porosus	Eukaryota	Animals	Reptiles	2049.54	41.6	13	13
Nicotiana tabacum	Eukaryota	Plants	Land Plants	3732.64	39	0	0
Octodon degus	Eukaryota	Animals	Mammals	2995.89	42.5	34039	27336
Cavia aperea	Eukaryota	Animals	Mammals	2716.4	42.2	0	0
Drosophila albomicans	Eukaryota	Animals	Insects	149.769	37.9	0	0
Cimex hemipterus	Eukaryota	Animals	Insects	2.66463	35.2	0	0
Ambrosiozyma kashinagacola	Eukaryota	Fungi	Ascomycetes	12.321	36.1	0	0
Thalassiosira oceanica	Eukaryota	Other	Other	92.1856	53.2648	34684	34642
Ananas comosus	Eukaryota	Plants	Land Plants	524.07	37.8	23598	23598
Botryllus schlosseri	Eukaryota	Animals	Other Animals	579.633	40.6	0	0
Ceratotherium simum simum	Eukaryota	Animals	Mammals	2464.37	41.2	25570	33629
Trachymyrmex septentrionalis	Eukaryota	Animals	Insects	291.747	34.7	12000	20394
Parastichopus parvimensis	Eukaryota	Animals	Other Animals	873.088	38.5	0	0
Heliconius ismenius	Eukaryota	Animals	Insects	259.837	32.7	0	0
Pythium insidiosum	Eukaryota	Protists	Other Protists	45.6097	57.2	0	0
Hydra vulgaris	Eukaryota	Animals	Other Animals	852.171	29.0999	22202	21993
Ophiophagus hannah	Eukaryota	Animals	Reptiles	1594.07	40.6	18558	18445
Gorilla gorilla	Eukaryota	Animals	Mammals	3.0229	41	0	0
Lasioglossum albipes	Eukaryota	Animals	Insects	336.521	42.1	0	0
Thelohanellus kitauei	Eukaryota	Animals	Other Animals	150.348	34.5	15020	15020
Camelus ferus	Eukaryota	Animals	Mammals	2009.19	41.3	24722	31796
Heterocephalus glaber	Eukaryota	Animals	Mammals	2618.2	41.2	32029	42626
Dichanthelium oligosanthes	Eukaryota	Plants	Land Plants	589.166	47.5	26468	26468
Diplodia corticola	Eukaryota	Fungi	Ascomycetes	34.9861	57	10839	10839
Davidsoniella virescens	Eukaryota	Fungi	Ascomycetes	33.428	44.6	0	0
Pythium oligandrum	Eukaryota	Protists	Other Protists	35.9342	53.8	0	0
Cryptosporidium ubiquitum	Eukaryota	Protists	Apicomplexans	8.97021	30.8	3766	3766
Ceratitis capitata	Eukaryota	Animals	Insects	479.048	36.2995	13065	21208
Caenorhabditis japonica	Eukaryota	Animals	Roundworms	166.256	39.9	0	0
Camelus bactrianus	Eukaryota	Animals	Mammals	1568.77	39.5	0	0
Xeromyces bisporus	Eukaryota	Fungi	Ascomycetes	22.0328	49.5359	0	0
Acanthamoeba lugdunensis	Eukaryota	Protists	Other Protists	99.4171	59.1	0	0
Capniomyces stellatus	Eukaryota	Fungi	Other Fungi	24.8459	37.3	0	0
Paecilomyces hepiali	Eukaryota	Fungi	Ascomycetes	34.682	53.9	0	0
Vigna angularis	Eukaryota	Plants	Land Plants	467.301	34.6231	29474	37769
Colletotrichum simmondsii	Eukaryota	Fungi	Ascomycetes	50.4742	51.7	13884	13884
Xiphophorus couchianus	Eukaryota	Animals	Fishes	708.396	40.9	0	0
Haplochromis burtoni	Eukaryota	Animals	Fishes	831.412	41.9	26625	44653
Eufriesea mexicana	Eukaryota	Animals	Insects	596.278	41.2	11053	15659
Corvus brachyrhynchos	Eukaryota	Animals	Birds	1091.31	42	19146	29421
Megachile rotundata	Eukaryota	Animals	Insects	272.661	36.8	11824	26024
Trametes sp. AH28-2	Eukaryota	Fungi	Basidiomycetes	38.9045	58.7	0	0
Fusarium azukicola	Eukaryota	Fungi	Ascomycetes	51.308	0	0	0
Solanum pennellii	Eukaryota	Plants	Land Plants	926.426	35.6914	32519	35068
Kluyveromyces lactis	Eukaryota	Fungi	Ascomycetes	10.7294	38.7053	5412	5085
Genlisea aurea	Eukaryota	Plants	Land Plants	43.3578	40.6	17685	17685
Malassezia sympodialis	Eukaryota	Fungi	Basidiomycetes	7.52611	58.8	0	0
Pan troglodytes	Eukaryota	Animals	Mammals	3231.17	41.0646	38926	79956
Scedosporium aurantiacum	Eukaryota	Fungi	Ascomycetes	39.8907	49.2	0	0
Schistosoma margrebowiei	Eukaryota	Animals	Flatworms	367.397	34.4	0	0
Trichobilharzia regenti	Eukaryota	Animals	Flatworms	701.762	38.8	0	0
Blattella germanica	Eukaryota	Animals	Insects	2037.2	36.7	0	0
Fibroporia radiculosa	Eukaryota	Fungi	Basidiomycetes	28.378	51.1	9262	9262
Taenia saginata	Eukaryota	Animals	Flatworms	169.104	42.5	0	0
Hermetia illucens	Eukaryota	Animals	Insects	890.457	31.9	0	0
Taeniopygia guttata	Eukaryota	Animals	Birds	1232.14	41.4526	17357	19447
Mesocestoides corti	Eukaryota	Animals	Flatworms	117.182	41.9	0	0
Magnaporthe oryzae	Eukaryota	Fungi	Ascomycetes	34.8153	51.8	0	0
Moesziomyces antarcticus	Eukaryota	Fungi	Basidiomycetes	18.112	60.9	6879	6766
Torrubiella hemipterigena	Eukaryota	Fungi	Ascomycetes	28.4762	50.6	10773	11471
Calypte anna	Eukaryota	Animals	Birds	1105.68	41.3	14812	16329
Fusarium circinatum	Eukaryota	Fungi	Ascomycetes	43.9486	47.4355	0	0
Squalius pyrenaicus	Eukaryota	Animals	Fishes	48.1393	51.1	0	0
Dinoponera quadriceps	Eukaryota	Animals	Insects	259.666	43.6	11816	22408
Spinacia oleracea	Eukaryota	Plants	Land Plants	493.772	38	21539	23522
Clupea harengus	Eukaryota	Animals	Fishes	807.712	44.5001	25434	28335
Vicugna pacos	Eukaryota	Animals	Mammals	2172.21	41.7	24553	33208
Aspergillus westerdijkiae	Eukaryota	Fungi	Ascomycetes	36.0726	50.2	0	0
Vollenhovia emeryi	Eukaryota	Animals	Insects	287.901	42.6	15715	26071
Heterodera glycines	Eukaryota	Animals	Roundworms	81.908	37.5	0	0
Leuciscus waleckii	Eukaryota	Animals	Fishes	752.539	37.4	0	0
Pimephales promelas	Eukaryota	Animals	Fishes	957.81	39.5	0	0
Tolypocladium sp. Sup5 PDA-1	Eukaryota	Fungi	Ascomycetes	37.875	56	0	0
Penicillium citrinum	Eukaryota	Fungi	Ascomycetes	31.5298	46.9	0	0
Pseudogymnoascus sp. VKM F-4513 (FW-928)	Eukaryota	Fungi	Ascomycetes	26.4407	50.9	8669	8669
Memnoniella echinata	Eukaryota	Fungi	Ascomycetes	43.682	49.8	0	0
Paramecium tetraurelia	Eukaryota	Protists	Other Protists	72.0945	28.2	39581	39580
Angiostrongylus costaricensis	Eukaryota	Animals	Roundworms	262.783	41.3	0	0
Astyanax mexicanus	Eukaryota	Animals	Fishes	1191.24	40	25132	33353
Exophiala oligosperma	Eukaryota	Fungi	Ascomycetes	38.2245	50.4	11938	13234
Takifugu rubripes	Eukaryota	Animals	Fishes	391.485	45.8414	23164	31052
Papilio polytes	Eukaryota	Animals	Insects	227.021	34.499	13314	16633
Notothenia coriiceps	Eukaryota	Animals	Fishes	636.614	40.8002	26863	32182
Eimeria tenella	Eukaryota	Protists	Apicomplexans	1.38246	49.4	218	216
Pampus argenteus	Eukaryota	Animals	Fishes	350.449	38.2	0	0
Penicillium expansum	Eukaryota	Fungi	Ascomycetes	35.0461	48.2	0	0
Ichthyophthirius multifiliis	Eukaryota	Protists	Other Protists	48.8	15.95	16426	16112
Haliaeetus leucocephalus	Eukaryota	Animals	Birds	1178.41	41.8	15817	25265
Apis dorsata	Eukaryota	Animals	Insects	230.34	32.5	11550	18144
Bemisia tabaci	Eukaryota	Animals	Insects	615.017	39.8996	15153	22737
Populus trichocarpa	Eukaryota	Plants	Land Plants	417.287	34.1276	41571	45942
Madurella mycetomatis	Eukaryota	Fungi	Ascomycetes	36.7049	54.8	10707	10707
Aegilops tauschii	Eukaryota	Plants	Land Plants	3313.65	46.3	40484	33849
Hymenoscyphus fructigenus	Eukaryota	Fungi	Ascomycetes	61.1249	43.1	0	0
Colletotrichum tofieldiae	Eukaryota	Fungi	Ascomycetes	52.9627	0	0	0
Erinaceus europaeus	Eukaryota	Animals	Mammals	2133.12	41.5	0	0
Sporidiobolus salmonicolor	Eukaryota	Fungi	Basidiomycetes	20.5259	61.3	4671	4672
Limulus polyphemus	Eukaryota	Animals	Other Animals	1828.27	34.5	22044	23300
Ellobius talpinus	Eukaryota	Animals	Mammals	2265.97	41.3	0	0
Lactuca sativa	Eukaryota	Plants	Land Plants	1133.66	36.8	0	0
Carlito syrichta	Eukaryota	Animals	Mammals	3453.86	41	25958	27023
Tilletia controversa	Eukaryota	Fungi	Basidiomycetes	28.8411	56.6	9860	9860
Athelia rolfsii	Eukaryota	Fungi	Basidiomycetes	59.7237	46.4	0	0
Plasmodium fragile	Eukaryota	Protists	Apicomplexans	25.9145	42.1	5744	5672
Phytophthora sojae	Eukaryota	Protists	Other Protists	82.5976	54.4	28142	26489
Zaprionus indianus	Eukaryota	Animals	Insects	123.675	40.5	0	0
